Title;Author;Price;Url
Облачные архитектуры: разработка устойчивых и эконом...;Лащевски;1320 р.;https://www.piter.com/collection/kompyutery-i-internet/product/oblachnye-arhitektury-razrabotka-ustoychivyh-i-ekonomichnyh-oblachnyh-prilozheniy
Машинное обучение: алгоритмы для бизнеса;де Прадо;1319 р.;https://www.piter.com/collection/kompyutery-i-internet/product/mashinnoe-obuchenie-algoritmy-dlya-biznesa
Глубокое обучение;Николенко С.;1314 р.;https://www.piter.com/collection/kompyutery-i-internet/product/glubokoe-obuchenie-2
Обработка естественного языка. Python и spaCy на пра...;Васильев;1314 р.;https://www.piter.com/collection/kompyutery-i-internet/product/obrabotka-estestvennogo-yazyka-python-i-spacy-na-praktike
Чистый Python. Тонкости программирования для профи;Бейдер;1309 р.;https://www.piter.com/collection/kompyutery-i-internet/product/chistyy-python-tonkosti-programmirovaniya-dlya-profi
JavaScript с нуля;Чиннатхамби ;1307 р.;https://www.piter.com/collection/kompyutery-i-internet/product/javascript-s-nulya
Психбольница в руках пациентов. Алан Купер об интерф...;Купер;1292 р.;https://www.piter.com/collection/kompyutery-i-internet/product/psihbolnitsa-v-rukah-patsientov-alan-kuper-ob-interfeysah
Еще более эффективный Agile;Макконнелл;1292 р.;https://www.piter.com/collection/kompyutery-i-internet/product/esche-bolee-effektivnyy-agile
Kali Linux от разработчиков;Херцог;1283 р.;https://www.piter.com/collection/kompyutery-i-internet/product/kali-linux-ot-razrabotchikov
Совершенный алгоритм. Жадные алгоритмы и динамическо...;Рафгарден;399 р.;https://www.piter.com/collection/kompyutery-i-internet/product/sovershennyy-algoritm-zhadnye-algoritmy-i-dinamicheskoe-programmirovanie
Искусство программирования на R. Погружение в больши...;Мэтлофф;1266 р.;https://www.piter.com/collection/kompyutery-i-internet/product/iskusstvo-programmirovaniya-na-r-pogruzhenie-v-bolshie-dannye
Unity в действии. Мультиплатформенная разработка на ...;Хокинг;1259 р.;https://www.piter.com/collection/kompyutery-i-internet/product/unity-v-deystvii-multiplatformennaya-razrabotka-na-c-2-e-mezhd-izdanie
BPF для мониторинга Linux;Калавера;1235 р.;https://www.piter.com/collection/kompyutery-i-internet/product/bpf-dlya-monitoringa-linux
Изучаем C++ через программирование игр;Доусон;1199 р.;https://www.piter.com/collection/kompyutery-i-internet/product/izuchaem-c-cherez-programmirovanie-igr-2
Алгоритмы неформально. Инструкция для начинающих пит...;Такфилд;1199 р.;https://www.piter.com/collection/kompyutery-i-internet/product/algoritmy-neformalno-instruktsiya-dlya-nachinayuschih-pitonistov
jQuery в действии. 3-е издание;Бибо ;1196 р.;https://www.piter.com/collection/kompyutery-i-internet/product/jquery-v-deystvii-3-e-izdanie
Принципы юнит-тестирования;Хориков;1195 р.;https://www.piter.com/collection/kompyutery-i-internet/product/printsipy-yunit-testirovaniya
Наглядный CSS;Сидельников;1188 р.;https://www.piter.com/collection/kompyutery-i-internet/product/vizualnyy-css
System Design. Подготовка к сложному интервью;Сюй;1188 р.;https://www.piter.com/collection/kompyutery-i-internet/product/system-design-podgotovka-k-slozhnomu-intervyu
Веб-дизайн для недизайнеров;Осборн;1188 р.;https://www.piter.com/collection/kompyutery-i-internet/product/veb-dizayn-dlya-nedizaynerov
Программирование для детей. Учимся создавать сайты, ...;Уитни;1176 р.;https://www.piter.com/collection/kompyutery-i-internet/product/programmirovanie-dlya-detey-uchimsya-sozdavat-sayty-prilozheniya-i-igry-html-css-i-javascript
Программируем на Python;Доусон;1160 р.;https://www.piter.com/collection/kompyutery-i-internet/product/programmiruem-na-python-3
Идеальная работа. Программирование без прикрас;Мартин;1151 р.;https://www.piter.com/collection/kompyutery-i-internet/product/idealnaya-rabota-programmirovanie-bez-prikras
Совершенный алгоритм. Основы;Рафгарден;1141 р.;https://www.piter.com/collection/kompyutery-i-internet/product/sovershennyy-algoritm-osnovy
{Вы не знаете JS} Замыкания и объекты;Симпсон;499 р.;https://www.piter.com/collection/kompyutery-i-internet/product/vy-ne-znaete-js-zamykaniya-i-obekty
{Вы не знаете JS} Асинхронная обработка и оптимизация;Симпсон;1118 р.;https://www.piter.com/collection/kompyutery-i-internet/product/vy-ne-znaete-js-asinhronnaya-obrabotka-i-optimizatsiya
Теоретический минимум по Computer Science. Сети, кри...;Фило;1068 р.;https://www.piter.com/collection/kompyutery-i-internet/product/teoreticheskiy-minimum-po-computer-science-seti-kriptografiya-i-data-science
Архитекторы интеллекта: вся правда об искусственном ...;Форд;1056 р.;https://www.piter.com/collection/kompyutery-i-internet/product/arhitektory-intellekta-vsya-pravda-ob-iskusstvennom-intellekte-ot-ego-sozdateley
Квантовые вычисления для настоящих айтишников;Бернхард;399 р.;https://www.piter.com/collection/kompyutery-i-internet/product/kvantovye-vychisleniya-dlya-nastoyaschih-aytishnikov
Экстремальное программирование: разработка через тес...;Бек;1020 р.;https://www.piter.com/collection/kompyutery-i-internet/product/ekstremalnoe-programmirovanie-razrabotka-cherez-testirovanie-2
{Вы пока еще не знаете JS} Область видимости и замык...;Симпсон;1008 р.;https://www.piter.com/collection/kompyutery-i-internet/product/vy-poka-esche-ne-znaete-js-oblast-vidimosti-i-zamykaniya-2-e-mezhd-izdanie
Гид по Computer Science, расширенное издание;Спрингер ;1002 р.;https://www.piter.com/collection/kompyutery-i-internet/product/gid-po-computer-science-rasshirennoe-izdanie
Как управлять интеллектуалами. Я, нерды и гики;Лопп;990 р.;https://www.piter.com/collection/kompyutery-i-internet/product/kak-upravlyat-intellektualami-ya-nerdy-i-giki
Роман с Data Science. Как монетизировать большие данные;Зыков Р.;978 р.;https://www.piter.com/collection/kompyutery-i-internet/product/roman-s-data-science-kak-monetizirovat-bolshie-dannye
